Timestamp,Temperature_Fahrenheit,Relative_Humidity
2024-09-24 21:06:00,79.84,77.75
2024-09-25 09:06:00,78.71,86.02
2024-09-25 21:06:00,78.46,85.95
2024-09-26 09:06:00,80.62,88.42
2024-09-26 21:06:00,81.5,84.5
2024-09-27 21:06:00,80.62,69.19
2024-09-28 09:06:00,76.53,87.81
2024-09-28 21:06:00,80.89,82.91
2024-09-29 09:06:00,80.02,80.07
2024-09-29 21:06:00,80.65,79.9
2024-09-30 09:06:00,76.1,89.33
2024-09-30 21:06:00,81.14,84.8
2024-10-01 09:06:00,79.59,86.48
2024-10-01 21:06:00,80.71,79.36
2024-10-02 09:06:00,78.8,79.35
2024-10-02 21:06:00,78.71,77.47
2024-10-03 09:06:00,79,84.55
2024-10-03 21:06:00,78.4,84.29
2024-10-04 09:06:00,79.52,87.22
2024-10-04 21:06:00,79.63,83.86
2024-10-05 09:06:00,76.12,89.88
2024-10-05 21:06:00,76.17,87
2024-10-06 09:06:00,75.04,91.29
2024-10-06 21:06:00,73.56,90.28
2024-10-07 09:06:00,74.01,87.95
2024-10-07 21:06:00,73.24,84.77
2024-10-08 09:06:00,74.53,83.22
2024-10-08 21:06:00,75.07,88.9
2024-10-09 09:06:00,74.88,86.2
2024-10-09 21:06:00,73,92.84
2024-10-10 09:06:00,71.19,87.37
2024-10-10 21:06:00,73.13,72.91
2024-10-11 09:06:00,69.22,79.89
2024-10-11 21:06:00,69.49,80.65
2024-10-12 09:06:00,67.42,81.08
2024-10-12 21:06:00,71.82,83.96
2024-10-13 09:06:00,70.32,84.8
2024-10-13 21:06:00,70.61,79.16
2024-10-14 09:06:00,68.23,81.26
2024-10-14 21:06:00,75.88,74.41
2024-10-15 09:06:00,67.41,61.15
2024-10-15 21:06:00,71.28,68.77
2024-10-16 09:06:00,63.75,53.08
2024-10-16 21:06:00,61.39,49.61
2024-10-17 09:06:00,59.9,65.13
2024-10-17 21:06:00,59.05,68.94
2024-10-18 09:06:00,60.98,78.49
2024-10-18 21:06:00,68.05,79.91
2024-10-19 09:06:00,67.19,81.87
2024-10-19 21:06:00,68.11,79.52
2024-10-20 09:06:00,66.31,79.88
2024-10-20 21:06:00,68.09,76.01
2024-10-21 09:06:00,64.06,87.35
2024-10-21 21:06:00,70.41,85.3
2024-10-22 09:06:00,71.53,92.07
2024-10-22 21:06:00,72.46,86.62
2024-10-23 09:06:00,70.21,91.75
2024-10-23 21:06:00,70.41,82
2024-10-24 09:06:00,66.85,88.69
2024-10-24 21:06:00,71.78,77.49
2024-10-25 09:06:00,66.81,88.75
2024-10-25 21:06:00,72.34,79.51
2024-10-26 09:06:00,68.31,89.39
2024-10-26 21:06:00,72.07,75.49
2024-10-27 09:06:00,67.1,88.35
2024-10-27 21:06:00,72.66,72.82
2024-10-28 09:06:00,70.02,84.84
2024-10-28 21:06:00,70.7,78.53
2024-10-29 09:06:00,68.79,90.36
2024-10-29 21:06:00,72.14,89.59
2024-10-30 09:06:00,72.12,88.74
2024-10-30 21:06:00,73.49,80.19
2024-10-31 09:06:00,70.11,89.06
2024-10-31 21:06:00,72.19,85.05
2024-11-01 09:06:00,69.53,92.54
2024-11-01 21:06:00,74.39,77.94
2024-11-02 09:06:00,70.92,94.17
2024-11-02 21:06:00,74.19,87.37
2024-11-03 08:06:00,71.35,91.07
2024-11-03 20:06:00,73.06,90.64
2024-11-04 08:06:00,72.54,94.05
2024-11-04 20:06:00,74.95,82.8
2024-11-05 08:06:00,71.44,90.42
2024-11-05 20:06:00,77.14,84.37
2024-11-06 08:06:00,76.5,95.56
2024-11-06 20:06:00,77.54,90.76
2024-11-07 08:06:00,75.61,96.82
2024-11-07 20:06:00,76.96,87.98
2024-11-08 08:06:00,74.26,93.77
2024-11-08 20:06:00,75.97,87.38
2024-11-09 08:06:00,72.19,93.77
2024-11-09 20:06:00,74.35,89.08
2024-11-10 08:06:00,74.14,94.53
2024-11-10 20:06:00,73.83,92.88
2024-11-11 08:06:00,72.16,94.02
2024-11-11 20:06:00,75.11,87.52
2024-11-12 08:06:00,72.63,93.73
2024-11-12 20:06:00,72.45,80.79
2024-11-13 08:06:00,72.75,84.37
2024-11-13 20:06:00,71.64,71.77
2024-11-14 08:06:00,69.84,84.25
2024-11-14 20:06:00,75.07,72.01
2024-11-15 08:06:00,62.13,77.86
2024-11-15 20:06:00,61.74,77.44
2024-11-16 08:06:00,61.57,79.91
2024-11-16 20:06:00,63.57,79.32
2024-11-17 08:06:00,58.84,86.07
2024-11-17 20:06:00,64.53,79.11
2024-11-18 08:06:00,58.84,85.92
2024-11-18 20:06:00,66.61,77.7
2024-11-19 08:06:00,61.63,90.6
2024-11-19 20:06:00,71.1,80.22
2024-11-20 08:06:00,70.9,83.79
2024-11-20 20:06:00,75.42,79.65
2024-11-21 08:06:00,56.52,56.93
2024-11-21 20:06:00,58.28,44.38
2024-11-22 08:06:00,51.46,54.52
2024-11-22 20:06:00,56.75,51.5
2024-11-23 08:06:00,49.3,64.84
2024-11-23 20:06:00,55.65,69.98
2024-11-24 08:06:00,48.22,82.08
2024-11-24 20:06:00,57.42,73.25
2024-11-25 08:06:00,49.28,82.55
